arquivo,veredito,motivos,nitidez,brilho,contraste,largura,altura,duplicata_de,caminho
CAM1_RGB_2024-08-20_17-24-00_jpg.rf.e0af6a275b689f058ac100adc1fef8cb.jpg,aproveitavel,-,789.38,85.91,63.18,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM1_RGB_2024-08-20_17-24-00_jpg.rf.e0af6a275b689f058ac100adc1fef8cb.jpg
CAM1_RGB_2024-08-20_18-24-00_jpg.rf.28cd8ddb369f0445510d275f959e552b.jpg,aproveitavel,-,805.74,83.2,66.3,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM1_RGB_2024-08-20_18-24-00_jpg.rf.28cd8ddb369f0445510d275f959e552b.jpg
CAM1_RGB_2024-08-20_22-23-58_jpg.rf.2c88c9705f607f08682a062385ce6b30.jpg,aproveitavel,-,986.71,93.65,65.18,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM1_RGB_2024-08-20_22-23-58_jpg.rf.2c88c9705f607f08682a062385ce6b30.jpg
CAM1_RGB_2024-08-21_00-24-00_jpg.rf.16c7f49671c1509ef55aae3cdf4d0728.jpg,aproveitavel,-,942.88,90.86,65.51,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM1_RGB_2024-08-21_00-24-00_jpg.rf.16c7f49671c1509ef55aae3cdf4d0728.jpg
CAM1_RGB_2024-08-21_07-24-00_jpg.rf.0cf7722a699c6a6d3a6989db724665b9.jpg,aproveitavel,-,813.52,90.93,62.95,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM1_RGB_2024-08-21_07-24-00_jpg.rf.0cf7722a699c6a6d3a6989db724665b9.jpg
CAM1_RGB_2024-08-21_09-53-59_jpg.rf.c9fd55020867f47b97b7ca54eb46415d.jpg,aproveitavel,-,631.37,94.07,64.0,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM1_RGB_2024-08-21_09-53-59_jpg.rf.c9fd55020867f47b97b7ca54eb46415d.jpg
CAM1_RGB_2024-08-21_11-24-00_jpg.rf.4f79ac8810e91277c170555cb3d311d3.jpg,aproveitavel,-,803.08,98.43,62.34,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM1_RGB_2024-08-21_11-24-00_jpg.rf.4f79ac8810e91277c170555cb3d311d3.jpg
CAM1_RGB_2024-08-21_19-23-56_jpg.rf.4347a6f1830de291a7fafdebf2b14c3f.jpg,aproveitavel,-,790.22,91.82,65.79,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM1_RGB_2024-08-21_19-23-56_jpg.rf.4347a6f1830de291a7fafdebf2b14c3f.jpg
CAM1_RGB_2024-08-22_06-54-00_jpg.rf.940758b375886d26c42e42405afe8721.jpg,aproveitavel,-,826.29,95.25,65.25,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM1_RGB_2024-08-22_06-54-00_jpg.rf.940758b375886d26c42e42405afe8721.jpg
CAM1_RGB_2024-08-22_10-23-54_jpg.rf.3f66723b980303ec566bb178541ecf72.jpg,aproveitavel,-,851.52,100.82,62.41,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM1_RGB_2024-08-22_10-23-54_jpg.rf.3f66723b980303ec566bb178541ecf72.jpg
